Player,Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO
A. Reaves,"LAL - PG,SG",438/887,0.494,223/259,0.861,151,1250,338,399,71,31,152
J. Smith Jr.,"HOU - PF,C",426/928,0.459,159/194,0.82,165,1176,653,134,54,69,115
J. Collins,"UTA - PF,C",386/728,0.53,143/178,0.803,85,1000,535,85,38,65,70
J. Grant,"POR - SF,PF",410/902,0.455,266/327,0.813,116,1202,257,156,62,69,119
C. Paul,SAS - PG,203/462,0.439,55.0/66.0,0.833,68,529,215,388,66,9,107
T. Jones,PHX - PG,300/708,0.424,54.0/67.0,0.806,100,754,200,402,81,3,60
K. Porzingis,"BOS - PF,C",329/653,0.504,194/228,0.851,96,948,363,90,36,63,78
J. Poole,"WAS - PG,SG",472/1124,0.42,258/290,0.89,182,1384,236,360,62,36,193
H. Jones,"NOP - SF,PF",317/651,0.487,153/178,0.86,128,915,305,185,123,62,103
A. Caruso,"OKC - SG,SF",199/447,0.445,68.0/88.0,0.773,112,578,241,199,110,60,99
R. Barrett,"TOR - SF,PF",498/1041,0.478,243/342,0.711,100,1339,385,239,42,22,145
D. Green,"GSW - PF,C",209/439,0.476,57.0/78.0,0.731,54,529,481,443,63,59,189
N. Reid,"MIN - PF,C",392/803,0.488,101/141,0.716,143,1028,438,103,58,86,119
J. Green,"HOU - PG,SG",584/1381,0.423,308/381,0.808,211,1687,381,294,63,22,220
J. Kuminga,GSW - PF,510/1002,0.509,224/302,0.742,78,1322,393,250,75,64,149
I. Zubac,LAC - C,368/566,0.65,140/194,0.722,0,876,695,92,40,90,126
B. Portis,"MIL - PF,C",426/854,0.499,83.0/105,0.79,90,1025,584,80,49,32,84
B. Bogdanovic,"ATL - SG,SF",411/948,0.434,124/139,0.892,200,1146,214,222,78,16,80
O. Anunoby,"NYK - SF,PF",314/643,0.488,95.0/119,0.798,109,832,311,119,102,54,87
O. Okongwu,"ATL - PF,C",298/504,0.591,141/178,0.792,37,774,499,96,43,90,80
W. Kessler,UTA - C,284/410,0.693,88.0/151,0.583,2,658,574,69,39,173,55
D. Lively II,DAL - C,258/379,0.681,132/216,0.611,0,648,544,145,46,91,74
M. Conley,MIN - PG,247/565,0.437,122/139,0.878,145,761,209,396,73,16,119
A. Nesmith,"IND - SF,PF",343/704,0.487,111/137,0.81,148,945,285,109,71,59,59
M. Brogdon,"WAS - PG,SG",279/631,0.442,141/164,0.86,99,798,222,278,42,18,101
M. Robinson,NYK - C,179/262,0.683,59.0/126,0.468,0,417,504,32,63,79,51
M. Smart,"MEM - PG,SG",300/729,0.412,127/166,0.765,130,857,251,416,104,17,148
C. Sexton,"UTA - PG,SG",429/879,0.488,248/299,0.829,117,1223,207,321,60,0,203
A. Dosunmu,"CHI - SG,SF",391/780,0.501,106/132,0.803,114,1002,241,243,62,30,112
C. Johnson,"BKN - SF,PF",325/711,0.457,87.0/108,0.806,163,900,284,144,75,17,49
D. Schroder,BKN - PG,353/810,0.436,174/206,0.845,98,978,239,331,59,9,160
A. Nembhard,"IND - PG,SG",319/648,0.492,53.0/66.0,0.803,76,767,160,339,80,18,123
S. Sharpe,"POR - SG,SF",354/818,0.433,180/227,0.793,132,1020,313,156,62,41,138
